,counter,C4,C3
0,1.0,2452.832634527,518.7186363568413
1,1.0,1644.5789873457547,676.9983142411884
2,1.0,729.5415039948485,213.85666639289389
3,1.0,1288.9573661015077,342.5716675059891
4,1.0,1239.387545743413,580.979399427528
5,1.0,1792.945958284506,628.7029132215114
6,1.0,874.0368194629118,469.1487643836191
7,1.0,1803.9119655984002,652.2060644460214
8,1.0,1213.2645902129188,1123.1683635132165
9,1.0,1340.3017144307046,669.6152823084597
10,1.0,1548.610246988905,530.2126467168164
11,1.0,2885.7784049363327,448.08739127989475
12,1.0,,
13,1.0,2611.115591408866,657.048905819687
14,1.0,490.61401507718955,316.1210288692337
15,1.0,1138.050083904692,721.4672730356044
16,1.0,1621.46741674716,624.6726345311333
17,1.0,1390.825734463013,593.3081577239703
18,1.0,2165.5335539495645,379.9552232757447
19,1.0,1229.8096071507105,396.71687312084936
20,1.0,1629.6399613157673,637.1831927887268
21,1.0,1012.6782351364185,801.5615774287195
22,1.0,1524.921614656248,546.8780188443259
23,1.0,1109.736064448037,248.3144416805807
24,1.0,1170.0389507392829,464.31434377223275
25,1.0,2853.5802834278666,683.9195866036567
26,1.0,713.7483188803888,1131.7984036542352
27,1.0,966.3041624997616,604.6271462607878
28,1.0,1136.861975145171,263.042941704338
29,1.0,1107.7255073131093,451.690978122698
30,1.0,2183.123443867299,756.3248971398023
31,1.0,1847.3056210074246,504.7372170773772
32,1.0,1010.1579311246554,953.2677396607223
33,1.0,1019.4215116707878,229.44910327332028
34,1.0,1395.4655671986252,490.884865129144
35,1.0,1261.6087601741685,511.8180321196551
36,1.0,786.3363378623454,381.69583213740106
37,1.0,1534.1766289785655,410.36395377950583
38,1.0,1736.8159863799406,517.4473896833117
39,1.0,951.0504199092651,459.0027474840507
40,1.0,1834.745019772104,394.552280640847
41,1.0,949.9129421529503,547.693069847012
42,1.0,1212.9153405171471,886.4744321302159
43,1.0,1713.3802985189154,751.1605016548194
44,1.0,1382.8838800482931,709.4325349976616
45,1.0,696.1265221147761,431.82236512842445
46,1.0,,
47,1.0,,
48,1.0,1153.9917481839616,288.13525713772407
49,1.0,838.0243602516997,413.69911356755586
50,1.0,1773.938447692668,609.3075257602039
51,1.0,1411.1144170068026,963.2108814572736
52,1.0,2167.2697283911866,444.66335947803907
53,1.0,1203.8402657931317,686.1021758755936
54,1.0,1494.5166685689237,423.7730232455191
55,1.0,1565.1584995031399,684.4757654824655
56,1.0,1467.211753352752,518.1550035676626
57,1.0,2282.112532054217,589.814847449385
58,1.0,1305.9772633741936,778.9769739618879
59,1.0,1695.7645154545728,608.6710423328954
