,Unnamed: 0,condition,timing,view,hand,face,angle,response,RT
0,0,continuous,pre,0,right,back,240,False,1.235519957712313
1,1,continuous,pre,0,left,palm,300,True,0.6761187369411346
2,2,continuous,pre,0,left,back,120,True,1.7249783099578049
3,3,continuous,pre,0,left,palm,120,True,0.8740928008210176
4,4,continuous,pre,0,left,back,240,True,0.7867810445313808
5,5,continuous,pre,0,right,back,180,False,0.6388451896000333
6,6,continuous,pre,0,left,back,0,True,0.6730746616249235
7,7,continuous,pre,0,left,palm,60,True,0.8016133943910972
8,8,continuous,pre,0,right,palm,240,True,0.5332268462389038
9,9,continuous,pre,0,right,palm,60,True,0.6348791199106927
10,10,continuous,pre,0,right,palm,120,True,0.6536189332528011
11,11,continuous,pre,0,right,palm,0,True,0.5506842178856459
12,12,continuous,pre,0,left,back,60,True,0.7401894934009761
13,13,continuous,pre,0,right,back,120,True,0.9784348312387008
14,14,continuous,pre,0,left,palm,0,True,0.7501854905585787
15,15,continuous,pre,0,right,back,300,True,1.7316935086910237
16,16,continuous,pre,0,right,palm,180,True,2.0651934675133816
17,17,continuous,pre,0,right,palm,300,True,1.0495747219556506
18,18,continuous,pre,0,left,palm,180,True,1.9788580982876736
19,19,continuous,pre,0,left,palm,240,True,1.4219976289386975
20,20,continuous,pre,0,left,back,180,True,1.3123576740617864
21,21,continuous,pre,0,right,back,60,True,0.9432423787984592
22,22,continuous,pre,0,right,back,0,True,0.5970570491208491
23,23,continuous,pre,0,left,back,300,True,0.5779977744969074
24,0,continuous,post,0,right,palm,60,False,0.4444794294140593
25,1,continuous,post,0,left,palm,240,True,0.5346628898223571
26,2,continuous,post,0,left,back,240,True,0.2527321792113071
27,3,continuous,post,0,left,palm,60,True,0.6467712002231565
28,4,continuous,post,0,left,palm,300,True,0.5694757425844728
29,5,continuous,post,0,left,palm,0,True,0.35904345478047617
30,6,continuous,post,0,right,palm,180,False,0.3572868007722718
31,7,continuous,post,0,right,back,240,False,0.3233940271456959
32,8,continuous,post,0,left,palm,120,True,1.0578228751910501
33,9,continuous,post,0,left,palm,180,True,2.259544288866892
34,10,continuous,post,0,right,back,120,False,2.8037515633113803
35,11,continuous,post,0,left,back,0,True,2.604959693868296
36,12,continuous,post,0,right,back,180,False,7.694095903505512
37,13,continuous,post,0,left,back,180,True,0.0773192065571493
38,14,continuous,post,0,right,back,0,True,0.3990691955441433
39,15,continuous,post,0,left,back,60,True,1.0420463142254448
40,16,continuous,post,0,left,back,120,True,0.1246147982601542
41,17,continuous,post,0,left,back,300,True,5.035605760262115
42,18,continuous,post,0,right,palm,0,True,7.8979719571216265
43,19,continuous,post,0,right,palm,300,True,1.7849742113539833
44,20,continuous,post,0,right,palm,120,True,1.2371111353713786
45,21,continuous,post,0,right,back,300,False,1.3337765188298365
46,22,continuous,post,0,right,back,60,False,2.8029406525965896
47,23,continuous,post,0,right,palm,240,True,8.691665852689766
