,pid,condition,day,timing,block,hand,RT
0,P13,control,Day1,pre,0,left,17.274321374861756
1,P13,control,Day1,pre,0,right,16.843765106415955
2,P13,control,Day1,pre,1,right,17.676107752646203
3,P13,control,Day1,pre,1,left,20.710280137558588
4,P13,control,Day1,pre,2,left,19.81976376728562
5,P13,control,Day1,pre,2,right,17.409608579648193
6,P13,control,Day1,pre,3,left,16.709350865639866
7,P13,control,Day1,pre,3,right,15.478927820935494
8,P13,control,Day1,pre,4,left,16.66401304503961
9,P13,control,Day1,pre,4,right,16.91805361583829
0,P13,control,Day1,post,0,left,16.672830785930273
1,P13,control,Day1,post,0,right,15.849428838686435
2,P13,control,Day1,post,1,right,16.212278876570053
3,P13,control,Day1,post,1,left,15.18368327226199
4,P13,control,Day1,post,2,right,15.252956164869829
5,P13,control,Day1,post,2,left,15.431466004971295
6,P13,control,Day1,post,3,left,14.315673208853696
7,P13,control,Day1,post,3,right,14.981670054068672
8,P13,control,Day1,post,4,right,13.66791361218202
9,P13,control,Day1,post,4,left,14.159275903366506
0,P13,control,Day2,pre,0,left,15.965123931106064
1,P13,control,Day2,pre,0,right,16.78820666471438
2,P13,control,Day2,pre,1,left,16.21534418327792
3,P13,control,Day2,pre,1,right,19.6456177096552
4,P13,control,Day2,pre,2,right,18.121062082762364
5,P13,control,Day2,pre,2,left,18.7398821899842
6,P13,control,Day2,pre,3,left,16.651417044980914
7,P13,control,Day2,pre,3,right,18.817273439039127
8,P13,control,Day2,pre,4,left,18.03424021047249
9,P13,control,Day2,pre,4,right,17.586107872237335
0,P13,control,Day2,post,0,right,15.387118657308747
1,P13,control,Day2,post,0,left,15.303485270298552
2,P13,control,Day2,post,1,left,13.660646951480885
3,P13,control,Day2,post,1,right,14.329374667693624
4,P13,control,Day2,post,2,right,15.415280290995724
5,P13,control,Day2,post,2,left,16.523182019460364
6,P13,control,Day2,post,3,left,16.293959651331534
7,P13,control,Day2,post,3,right,16.318359761033207
8,P13,control,Day2,post,4,left,14.861169887590222
9,P13,control,Day2,post,4,right,14.075700861547375
0,P13,control,Day3,pre,0,left,15.559932338539513
1,P13,control,Day3,pre,0,right,15.339489413367119
2,P13,control,Day3,pre,1,right,16.612269616220146
3,P13,control,Day3,pre,1,left,16.04702096496476
4,P13,control,Day3,pre,2,left,15.225421007256957
5,P13,control,Day3,pre,2,right,15.876702453475444
6,P13,control,Day3,pre,3,left,20.060815645440016
7,P13,control,Day3,pre,3,right,21.040508395642973
8,P13,control,Day3,pre,4,left,19.806448140763678
9,P13,control,Day3,pre,4,right,13.767839659471063
0,P13,control,Day3,post,0,left,17.616967307694722
1,P13,control,Day3,post,0,right,17.514632787904702
2,P13,control,Day3,post,1,right,17.364839097193908
3,P13,control,Day3,post,1,left,15.505393305269536
4,P13,control,Day3,post,2,right,16.721746818046086
5,P13,control,Day3,post,2,left,17.343907480302732
6,P13,control,Day3,post,3,right,19.59618507925188
7,P13,control,Day3,post,3,left,15.736124879505951
8,P13,control,Day3,post,4,right,14.086828001018148
9,P13,control,Day3,post,4,left,13.913496439927258
