,block,hand
0,0,right
1,0,left
2,0,left
3,0,right
4,0,left
5,0,right
6,0,left
7,0,right
8,0,right
9,0,left
10,0,right
11,0,left
12,0,left
13,0,right
14,0,right
15,0,left
16,0,left
17,0,right
18,0,right
19,0,left
0,1,right
1,1,left
2,1,left
3,1,right
4,1,left
5,1,right
6,1,left
7,1,right
8,1,right
9,1,left
10,1,right
11,1,left
12,1,left
13,1,right
14,1,right
15,1,left
16,1,left
17,1,right
18,1,right
19,1,left
0,2,right
1,2,left
2,2,left
3,2,right
4,2,left
5,2,right
6,2,left
7,2,right
8,2,right
9,2,left
10,2,right
11,2,left
12,2,left
13,2,right
14,2,right
15,2,left
16,2,left
17,2,right
18,2,right
19,2,left
0,3,right
1,3,left
2,3,left
3,3,right
4,3,left
5,3,right
6,3,left
7,3,right
8,3,right
9,3,left
10,3,right
11,3,left
12,3,left
13,3,right
14,3,right
15,3,left
16,3,left
17,3,right
18,3,right
19,3,left
0,4,right
1,4,left
2,4,left
3,4,right
4,4,left
5,4,right
6,4,left
7,4,right
8,4,right
9,4,left
10,4,right
11,4,left
12,4,left
13,4,right
14,4,right
15,4,left
16,4,left
17,4,right
18,4,right
19,4,left
