,block,hand,RT
0,0,right,0.07146736861250247
1,0,left,136.27372765208202
2,0,left,20.65777933890604
3,0,right,18.271507128887606
4,0,left,18.63872543424077
5,0,right,16.75298910690981
6,0,right,16.903380236157318
7,0,left,17.887848065192884
8,0,right,16.102366617304142
9,0,left,18.505237401010163
0,1,right,16.235809834040992
1,1,left,21.6756404353564
2,1,left,20.90839930040238
3,1,right,18.538614197404968
4,1,left,21.442052273650916
5,1,right,20.040476954745827
6,1,right,18.555461368565375
7,1,left,20.25723365021622
8,1,right,17.620954353827983
9,1,left,17.537224120007522
0,2,right,15.96884717422472
1,2,left,17.904486858808013
2,2,left,11.013019765989156
3,2,right,10.896164014577153
4,2,left,12.231178030266165
5,2,right,12.014270031249907
6,2,right,12.297748526609212
7,2,left,13.499236587418636
8,2,right,10.278736757109073
9,2,left,10.862986019552409
0,3,right,11.630403739151006
1,3,left,11.74718939297054
2,3,left,13.015388911404443
3,3,right,12.314635534654371
4,3,left,15.317977236285515
5,3,right,13.716344153897808
6,3,right,12.381224034203115
7,3,left,12.998723687545862
8,3,right,13.115465290966313
9,3,left,14.099953038443346
0,4,right,12.014612858272812
1,4,left,12.815189037502932
2,4,left,13.632833405985366
3,4,right,13.198983699820019
4,4,left,11.76384350846456
5,4,right,11.897466374222859
6,4,right,10.696256405502936
7,4,left,12.514653844296845
8,4,right,12.264525332044286
9,4,left,13.132073823873725
