label,trigger
start,1
Mitest_pre,2
Mitest_pre_relaxleft,3
Mitest_pre_taskleft,4
Mitest_pre_relaxright,5
Mitest_pre_taskright,6
baseline,7
training_start,8
relax_left_b1,9
task_left_b1,10
relax_right_b1,11
task_right_b1,12
relax_left_b2,13
task_left_b2,14
relax_right_b2,15
task_right_b2,16
relax_left_b3,17
task_left_b3,18
relax_right_b3,19
task_right_b3,20
relax_left_b4,21
task_left_b4,22
relax_right_b4,23
task_right_b4,24
relax_left_b5,25
task_left_b5,26
relax_right_b5,27
task_right_b5,28
rest,29
training_finish,30
Mitest_post,31
Mitest_post_relaxleft,32
Mitest_post_taskleft,33
Mitest_post_relaxright,34
Mitest_post_taskright,35
finish,36
